candidate_name,candidate_id,year,office,district,TOT,FND,COMM,ADS,INFO,OVERHEAD,CONTRIB,GENERAL,LOGTOT,LOGFND,LOGCOMM,LOGADS,LOGINFO,LOGOVERHEAD,LOGCONTRIB,LOGGENERAL
"GAINES, EDWARD T",1265444,2016,S,1,722100.8,53889.23,68719.09,0.0,222241.57,79867.54000000001,32700.0,344849.89,13.489920020318454,10.894685922460274,11.137782314428433,0.0,12.311520222398062,11.288124791387022,10.395130356885344,12.75086449988012
"ROWEN, ROBERT J.",1383735,2016,S,1,16827.47,100.0,640.18,5128.0,400.0,7023.14,0.0,6268.18,9.73076794908726,4.605170185988092,6.46174938681035,8.542470998600505,5.991464547107982,8.856965690461257,0.0,8.74324132035777
"DODD, BILL",1359048,2016,S,3,4098682.81,181669.96,397477.07,886875.0,206297.6,1513997.48,74054.17,1672319.6300000001,15.226176214203948,12.10994691325332,12.892892525878057,13.695459326896444,12.23707506544829,14.230264048513153,11.212552131412233,14.329722220624785
"YAMADA, MARIKO M.",1295701,2016,S,3,581241.54,5311.44,147757.78,500.0,258833.45,119906.04000000001,11750.0,412402.67,13.27292168093907,8.577618263912266,11.903329590396421,6.214608098422191,12.46394008364317,11.694463715059573,9.371608519572305,12.929755505400783
"GALGIANI, CATHLEEN",1273495,2016,S,5,1914684.12,47866.5,536197.19,577.46,374323.28,478238.33,16110.0,958964.4299999999,14.465063216599427,10.77617116502794,13.192257264188392,6.358639175927818,12.83287508805781,13.07786448554111,9.68719547617102,13.773609262458198
"NAKANISHI, ALAN S.",1005260,2016,S,5,226105.06,0.0,41434.69,200.0,25500.0,70779.14,0.0,67134.69,12.328755037493751,0.0,10.631873731657473,5.298317366548036,10.146433731146518,11.167319603500689,0.0,11.114456178934518
"GLAZER, STEVEN",1355210,2016,S,7,1291428.86,31655.62,11937.96,3418.18,359479.49,258550.40999999997,260205.78,406491.25,14.071259806764349,10.362670978949744,9.387478518077982,8.13686352466458,12.79241240305538,12.462845963589887,12.469228058495606,12.91531768252308
"RUBAY, JOSEPH A.",1299399,2016,S,7,8205.19,0.0,0.0,0.0,0.0,8010.0,195.19,0.0,9.012522159867903,0.0,0.0,0.0,0.0,8.988446040062405,5.2739734431585195,0.0
"SKINNER, NANCY",1303644,2016,S,9,3245480.21,96688.24,344125.39,1410.0,234057.9,1425180.4300000002,65415.24,676281.53,14.992773881763368,11.479247060809081,12.748761375753384,7.251344983372214,12.363323799630061,14.169808981213423,11.088510537821529,13.424364732824873
"SWANSON, SANDRE",1268691,2016,S,9,724877.83,111905.1,65417.130000000005,44279.1,106850.87,371243.50999999995,4456.49,328452.2,13.493758409292521,11.62540646966895,11.088539429754011,10.698268061412762,11.579189402969645,12.824613487464761,8.40211673965487,12.702146596425756
"KIM, JANE",1380847,2016,S,11,2867249.38,28724.46,313739.8,957453.1399999999,170600.0,1241484.88,8537.74,1470517.4,14.868863723991677,10.26550430358464,12.656319258939511,13.77203205889156,12.047076914039716,14.031818705040248,9.052251614757724,14.201124869616143
