,candidate_name,candidate_id,election,office,district,year
107,"SWANLUND, PERRIN A",1381787,2016 GENERAL,A,34,2016
108,"CUNNINGHAM, JORDAN",1374711,2016 GENERAL,A,35,2016
109,"LEGG, DAWN ORTIZ",1381434,2016 GENERAL,A,35,2016
110,"FOX, STEVE",1297103,2016 GENERAL,A,36,2016
111,"LACKEY, THOMAS W.",1345765,2016 GENERAL,A,36,2016
112,"LIMON, S. MONIQUE",1375717,2016 GENERAL,A,37,2016
113,"FULLER, EDWARD L.",1383807,2016 GENERAL,A,37,2016
114,"ACOSTA, DANTE",1383876,2016 GENERAL,A,38,2016
115,"SMITH, CHRISTY",1381884,2016 GENERAL,A,38,2016
116,"BOCANEGRA, RAUL",1330049,2016 GENERAL,A,39,2016
117,"LOPEZ, PATTY",1358288,2016 GENERAL,A,39,2016
118,"MEDINA, ABIGAIL M.",1377377,2016 GENERAL,A,40,2016
119,"STEINORTH, MARC",1362221,2016 GENERAL,A,40,2016
120,"HIGGINS, CASEY C.",1383283,2016 GENERAL,A,41,2016
121,"HOLDEN, CHRIS",1336467,2016 GENERAL,A,41,2016
122,"MAYES, CHAD",1351765,2016 GENERAL,A,42,2016
123,"RODRIGUEZ, GREG",1375844,2016 GENERAL,A,42,2016
124,"FRIEDMAN, LAURA",1368701,2016 GENERAL,A,43,2016
125,"KASSAKHIAN, ARDY",1366019,2016 GENERAL,A,43,2016
126,"IRWIN, JACQUI",1362509,2016 GENERAL,A,44,2016
127,"NELSON, KERRY J.",1383809,2016 GENERAL,A,44,2016
128,"DABABNEH, MATTHEW",1357054,2016 GENERAL,A,45,2016
129,"KOWAL, JERRY S.",1383380,2016 GENERAL,A,45,2016
130,"NAZARIAN, ADRIN",1323126,2016 GENERAL,A,46,2016
131,"RUPERT, ANGELA",1387323,2016 GENERAL,A,46,2016
132,"BROWN, CHERYL",1340553,2016 GENERAL,A,47,2016
133,"REYES, ELOISE GOMEZ",1381098,2016 GENERAL,A,47,2016
134,"ELLENSON, CORY H",1379875,2016 GENERAL,A,48,2016
135,"RUBIO, BLANCA",1374663,2016 GENERAL,A,48,2016
136,"AMUNDSON, PETER",1387329,2016 GENERAL,A,49,2016
137,"CHAU, EDWIN",1281706,2016 GENERAL,A,49,2016
138,"BLOOM, RICHARD",1330273,2016 GENERAL,A,50,2016
139,"CRAFFEY, MATTHEW G.",1383501,2016 GENERAL,A,50,2016
140,"GOMEZ, JIMMY",1334135,2016 GENERAL,A,51,2016
141,"EVERLING, MIKE",1387330,2016 GENERAL,A,51,2016
142,"RODRIGUEZ, FREDDIE",1354976,2016 GENERAL,A,52,2016
143,"AVILA, PAUL VINCENT",1005134,2016 GENERAL,A,52,2016
144,"MENDOZA, SANDRA Y.",1358233,2016 GENERAL,A,53,2016
145,"SANTIAGO, MIGUEL",1357853,2016 GENERAL,A,53,2016
146,"RIDLEY-THOMAS, SEBASTIAN M.",1358246,2016 GENERAL,A,54,2016
147,"RATCLIFF, GLEN",1365736,2016 GENERAL,A,54,2016
148,"CHEN, PHILLIP",1358732,2016 GENERAL,A,55,2016
149,"FRITCHLE, GREGG D.",1226413,2016 GENERAL,A,55,2016
150,"GARCIA, EDUARDO",1355371,2016 GENERAL,A,56,2016
151,"CALDERON, IAN",1336511,2016 GENERAL,A,57,2016
152,"TOPALIAN, RITA H.",1259659,2016 GENERAL,A,57,2016
153,"GARCIA, CRISTINA",1343926,2016 GENERAL,A,58,2016
154,"ALVARADO, RAMIRO",1387331,2016 GENERAL,A,58,2016
155,"JONES-SAWYER SR., REGINALD BYRON",1317870,2016 GENERAL,A,59,2016
156,"CERVANTES, SABRINA",1377791,2016 GENERAL,A,60,2016
157,"LINDER, ERIC",1345603,2016 GENERAL,A,60,2016
158,"DIAZ, HECTOR",1379407,2016 GENERAL,A,61,2016
159,"MEDINA, JOSE J.",1005789,2016 GENERAL,A,61,2016
160,"BRUNO, BARON",1385818,2016 GENERAL,A,62,2016
161,"BURKE, AUTUMN",1357823,2016 GENERAL,A,62,2016
162,"LEAL, MARCO ANTONIO ""TONY""",1387332,2016 GENERAL,A,62,2016
163,"MILLER, ADAM J.",1365738,2016 GENERAL,A,63,2016
164,"RENDON, ANTHONY",1335212,2016 GENERAL,A,63,2016
165,"GIPSON, MIKE",1299805,2016 GENERAL,A,64,2016
166,"SANFORD, THERESA",1360807,2016 GENERAL,A,64,2016
167,"KIM, YOUNG O.",1358869,2016 GENERAL,A,65,2016
168,"QUIRK-SILVA, SHARON",1345707,2016 GENERAL,A,65,2016
169,"HADLEY, DAVID F.",1359993,2016 GENERAL,A,66,2016
170,"MURATSUCHI, AL",1315952,2016 GENERAL,A,66,2016
171,"LOPEZ, JORGE R.",1383804,2016 GENERAL,A,67,2016
172,"MELENDEZ, MELISSA",1340675,2016 GENERAL,A,67,2016
173,"CHOI, STEVEN",1296275,2016 GENERAL,A,68,2016
174,"PANAHI, SEAN JAY",1383651,2016 GENERAL,A,68,2016
175,"DALY, TOM",1341148,2016 GENERAL,A,69,2016
176,"VELARDE-GARCIA, OFELIA",1384552,2016 GENERAL,A,69,2016
177,"FLORES-GIBSON, MARTHA",1325824,2016 GENERAL,A,70,2016
178,"O'DONNELL, PATRICK",1296270,2016 GENERAL,A,70,2016
179,"HAMEL, LEO",1383964,2016 GENERAL,A,71,2016
180,"VOEPEL, RANDY G.",1226426,2016 GENERAL,A,71,2016
181,"ALBERT-SHERIDAN, LENORE L.",1378300,2016 GENERAL,A,72,2016
182,"ALLEN, TRAVIS",1345834,2016 GENERAL,A,72,2016
183,"BROUGH, BILL",1356165,2016 GENERAL,A,73,2016
184,"ISLAM, MESBAH",1385572,2016 GENERAL,A,73,2016
185,"HARPER, MATTHEW",1341264,2016 GENERAL,A,74,2016
186,"ONOFRE, KARINA",1362589,2016 GENERAL,A,74,2016
187,"MASIEL, ANDREW",1383430,2016 GENERAL,A,75,2016
188,"WALDRON, MARIE",1273672,2016 GENERAL,A,75,2016
189,"CHAVEZ, ROCKY",1339551,2016 GENERAL,A,76,2016
190,"KROUSE, THOMAS",1367077,2016 GENERAL,A,76,2016
191,"MAIENSCHEIN, BRIAN",1339637,2016 GENERAL,A,77,2016
192,"VASQUEZ, MELINDA K",1383128,2016 GENERAL,A,77,2016
193,"GLORIA, TODD",1376637,2016 GENERAL,A,78,2016
194,"MELTON, KEVIN D",1358738,2016 GENERAL,A,78,2016
195,"WEBER, SHIRLEY N.",1342820,2016 GENERAL,A,79,2016
196,"MOORE, JOHN S.",1383606,2016 GENERAL,A,79,2016
197,"GONZALEZ, LORENA S.",1353845,2016 GENERAL,A,80,2016
198,"PICKARD, LINCOLN M.",1256940,2016 GENERAL,A,80,2016
223,"MC GUIRE, MIKE",1361301,2014 GENERAL,S,2,2014
224,"WIESNER, LAWRENCE R.",1282695,2014 GENERAL,S,2,2014
225,"JAWAHAR, C J",1363000,2014 GENERAL,S,4,2014
226,"NIELSEN, JIM",1299401,2014 GENERAL,S,4,2014
227,"DICKINSON, ROGER",1251341,2014 GENERAL,S,6,2014
228,"PAN, RICHARD",1319205,2014 GENERAL,S,6,2014
229,"BERRYHILL, TOM",1294245,2014 GENERAL,S,8,2014
230,"MIRANDA, PAULINA M.",1356609,2014 GENERAL,S,8,2014
231,"KUO, PETER",1361920,2014 GENERAL,S,10,2014
232,"WIECKOWSKI, ROBERT",1315744,2014 GENERAL,S,10,2014
233,"BAGLEY, SHAWN",1364597,2014 GENERAL,S,12,2014
234,"CANNELLA, ANTHONY JOSEPH",1318121,2014 GENERAL,S,12,2014
235,"CHAVEZ, LUIS",1362454,2014 GENERAL,S,14,2014
236,"VIDAK, JAMES ANDREW",1356182,2014 GENERAL,S,14,2014
237,"FULLER, JEAN",1284988,2014 GENERAL,S,16,2014
238,"MUSSER-LOPEZ, RUTH",1366955,2014 GENERAL,S,16,2014
239,"HERTZBERG, ROBERT",1004251,2014 GENERAL,S,18,2014
240,"BENITEZ, RICARDO",1340990,2014 GENERAL,S,18,2014
241,"LEYVA, CONNIE M.",1364478,2014 GENERAL,S,20,2014
242,"MUNSON, MATTHEW G.",1239584,2014 GENERAL,S,20,2014
243,"HERNANDEZ, EDWARD P.",1266775,2014 GENERAL,S,22,2014
244,"RODRIGUEZ, MARC",1366181,2014 GENERAL,S,22,2014
245,"CHOI, PETER",1364100,2014 GENERAL,S,24,2014
246,"DE LEON, KEVIN",1263266,2014 GENERAL,S,24,2014
247,"ALLEN, BEN",1363828,2014 GENERAL,S,26,2014
248,"FLUKE, SANDRA",1363477,2014 GENERAL,S,26,2014
249,"GARCIA, BONNIE",1240067,2014 GENERAL,S,28,2014
250,"STONE, JEFFREY E.",1238568,2014 GENERAL,S,28,2014
251,"MITCHELL, HOLLY J.",1307762,2014 GENERAL,S,30,2014
252,"ARMENTA, ISIDRO",1361488,2014 GENERAL,S,30,2014
253,"GUERRA, MARIO A.",1358733,2014 GENERAL,S,32,2014
254,"MENDOZA, TONY",1238223,2014 GENERAL,S,32,2014
255,"NGUYEN, JANET",1282277,2014 GENERAL,S,34,2014
256,"SOLORIO, JOSE",1279123,2014 GENERAL,S,34,2014
257,"BATES, PATRICIA C. ""PAT""",1003846,2014 GENERAL,S,36,2014
258,"KEPHART, GARY R.",1325625,2014 GENERAL,S,36,2014
259,"ANDERSON, JOEL C.",1004048,2014 GENERAL,S,38,2014
260,"TSIMBOUKAKIS, FOTIOS/FRANK",1358744,2014 GENERAL,S,38,2014
261,"ESTRADA, RAFAEL",1354713,2014 GENERAL,S,40,2014
262,"HUESO, BEN",1315742,2014 GENERAL,S,40,2014
263,"DAHLE, BRIAN",1224716,2014 GENERAL,A,1,2014
264,"SMITH, BRIGHAM SAWYER",1365709,2014 GENERAL,A,1,2014
265,"WOOD, JAMES D.",1353393,2014 GENERAL,A,2,2014
266,"HEATH, MATT",1363081,2014 GENERAL,A,2,2014
267,"GALLAGHER, JAMES",1357069,2014 GENERAL,A,3,2014
268,"REED, JIM",1358058,2014 GENERAL,A,3,2014
269,"DODD, BILL",1359048,2014 GENERAL,A,4,2014
270,"SCHAUPP, CHARLES E.",1301596,2014 GENERAL,A,4,2014
271,"BIGELOW, FRANK",1342402,2014 GENERAL,A,5,2014
272,"HOGAN, PATRICK D.",1366958,2014 GENERAL,A,5,2014
273,"GAINES, BETH B.",1335196,2014 GENERAL,A,6,2014
274,"CAPLES, BRIAN",1363003,2014 GENERAL,A,6,2014
275,"COHN, STEVE",1358962,2014 GENERAL,A,7,2014
276,"MC CARTY, KEVIN",1314046,2014 GENERAL,A,7,2014
277,"COOLEY, KEN",1240640,2014 GENERAL,A,8,2014
278,"HAALAND, DOUGLAS",1340717,2014 GENERAL,A,8,2014
279,"COOPER, JIM",1354349,2014 GENERAL,A,9,2014
280,"FONG, DARRELL",1358768,2014 GENERAL,A,9,2014
281,"ALLEN, GREGORY J.",1363128,2014 GENERAL,A,10,2014
282,"LEVINE, MARC",1338897,2014 GENERAL,A,10,2014
283,"FRAZIER JR., JAMES L.",1341572,2014 GENERAL,A,11,2014
284,"HENTHORN, ALEX",1364567,2014 GENERAL,A,11,2014
285,"GREWAL, HARINDER",1362789,2014 GENERAL,A,12,2014
286,"OLSEN, KRISTIN M.",1323478,2014 GENERAL,A,12,2014
287,"EGGMAN, SUSAN",1337454,2014 GENERAL,A,13,2014
288,"JOBRACK, SOL",1364778,2014 GENERAL,A,13,2014
289,"BONILLA, SUSAN",1315657,2014 GENERAL,A,14,2014
290,"DELEPINE, JOY D.",1366787,2014 GENERAL,A,14,2014
291,"ECHOLS, ELIZABETH",1357374,2014 GENERAL,A,15,2014
292,"THURMOND, TONY",1295704,2014 GENERAL,A,15,2014
293,"BAKER, CATHARINE",1358730,2014 GENERAL,A,16,2014
294,"SBRANTI, TIM",1356108,2014 GENERAL,A,16,2014
295,"CAMPOS, DAVID",1359299,2014 GENERAL,A,17,2014
296,"CHIU, DAVID",1360423,2014 GENERAL,A,17,2014
297,"BONTA, ROB",1339733,2014 GENERAL,A,18,2014
298,"ERLICH, DAVID M.",1362222,2014 GENERAL,A,18,2014
299,"PINEDA, RENE GONZALO",1364780,2014 GENERAL,A,19,2014
300,"TING, PHIL",1343138,2014 GENERAL,A,19,2014
301,"PATINO, JAIME R.",1361490,2014 GENERAL,A,20,2014
302,"QUIRK, BILL (WILLIAM J.)",1336944,2014 GENERAL,A,20,2014
303,"GRAY, ADAM C.",1315410,2014 GENERAL,A,21,2014
304,"MOBLEY JR., JACK M.",1294243,2014 GENERAL,A,21,2014
305,"MULLIN, KEVIN",1342937,2014 GENERAL,A,22,2014
306,"GILHAM, MARK H.",1344727,2014 GENERAL,A,22,2014
307,"PATTERSON, JIM",1346007,2014 GENERAL,A,23,2014
308,"GABL, DIANE CHRISTINE",1365082,2014 GENERAL,A,24,2014
309,"GORDON, RICHARD S.",1316724,2014 GENERAL,A,24,2014
310,"BRUNTON, BOB",1363959,2014 GENERAL,A,25,2014
311,"CHU, KANSEN",1356482,2014 GENERAL,A,25,2014
312,"MATHIS, DEVON J.",1365277,2014 GENERAL,A,26,2014
313,"MENDOZA, RUDY",1356174,2014 GENERAL,A,26,2014
314,"CAMPOS, NORA",1318599,2014 GENERAL,A,27,2014
315,"LANCASTER, GORDON K.",1364779,2014 GENERAL,A,27,2014
316,"LOW, EVAN",1335519,2014 GENERAL,A,28,2014
317,"PAGE, CHUCK",1364063,2014 GENERAL,A,28,2014
318,"KAIN, PALMER",1363609,2014 GENERAL,A,29,2014
319,"STONE, MARK",1340922,2014 GENERAL,A,29,2014
320,"ALEJO, LUIS",1318708,2014 GENERAL,A,30,2014
321,"STARRITT, MARK",1364607,2014 GENERAL,A,30,2014
322,"PEREA, HENRY T.",1235519,2014 GENERAL,A,31,2014
323,"VILLARREAL, WALTER",1364377,2014 GENERAL,A,31,2014
324,"RIOS, PEDRO AYON",1343678,2014 GENERAL,A,32,2014
325,"SALAS JR., RUDY",1340989,2014 GENERAL,A,32,2014
326,"OBERNOLTE, JAY",1362835,2014 GENERAL,A,33,2014
327,"COFFEY, JOHN",1344000,2014 GENERAL,A,33,2014
328,"GROVE, SHANNON",1325437,2014 GENERAL,A,34,2014
329,"GOODMAN, VIRGINIA ""MARI""",1345763,2014 GENERAL,A,34,2014
330,"ACHADJIAN, KHATCHIK",1317317,2014 GENERAL,A,35,2014
331,"HARMON, HEIDI",1364777,2014 GENERAL,A,35,2014
332,"FOX, STEVE",1297103,2014 GENERAL,A,36,2014
333,"LACKEY, THOMAS W.",1345765,2014 GENERAL,A,36,2014
334,"DEBLAUW, RONALD E",1003934,2014 GENERAL,A,37,2014
335,"WILLIAMS, DAS",1316434,2014 GENERAL,A,37,2014
336,"FUENTES, JORGE SALOMON",1363832,2014 GENERAL,A,38,2014
337,"WILK, SCOTT T.",1339656,2014 GENERAL,A,38,2014
338,"BOCANEGRA, RAUL",1330049,2014 GENERAL,A,39,2014
339,"LOPEZ, PATTY",1358288,2014 GENERAL,A,39,2014
340,"HENRY, KATHLEEN",1365093,2014 GENERAL,A,40,2014
341,"STEINORTH, MARC",1362221,2014 GENERAL,A,40,2014
342,"HOLDEN, CHRIS",1336467,2014 GENERAL,A,41,2014
343,"HARGROVE, KARALEE B.",1359764,2014 GENERAL,A,42,2014
344,"MAYES, CHAD",1351765,2014 GENERAL,A,42,2014
345,"GATTO, MIKE",1005008,2014 GENERAL,A,43,2014
346,"ROYAL, TODD",1363510,2014 GENERAL,A,43,2014
347,"IRWIN, JACQUI",1362509,2014 GENERAL,A,44,2014
348,"MC COY, ROB",1362964,2014 GENERAL,A,44,2014
349,"DABABNEH, MATTHEW",1357054,2014 GENERAL,A,45,2014
350,"SHELLEY, SUSAN",1355797,2014 GENERAL,A,45,2014
351,"NAZARIAN, ADRIN",1323126,2014 GENERAL,A,46,2014
352,"TAYLOR, ZACHARY",1362620,2014 GENERAL,A,46,2014
353,"BROWN, CHERYL",1340553,2014 GENERAL,A,47,2014
354,"NAVARRO, GIL",1300150,2014 GENERAL,A,47,2014
355,"HERNANDEZ, ROGER",1276119,2014 GENERAL,A,48,2014
356,"LARA-GARDNER, JOSEPH",1343990,2014 GENERAL,A,48,2014
357,"CHAU, EDWIN",1281706,2014 GENERAL,A,49,2014
358,"SIEGRIST, ESTHELA T.",1365365,2014 GENERAL,A,49,2014
359,"BLOOM, RICHARD",1330273,2014 GENERAL,A,50,2014
360,"TORGAN, BRADLY S.",1341020,2014 GENERAL,A,50,2014
361,"GOMEZ, JIMMY",1334135,2014 GENERAL,A,51,2014
362,"SMITH, STEPHEN C.",1367072,2014 GENERAL,A,51,2014
363,"PINEDA, DOROTHY",1358125,2014 GENERAL,A,52,2014
364,"RODRIGUEZ, FREDDIE",1354976,2014 GENERAL,A,52,2014
365,"MENDOZA, SANDRA Y.",1358233,2014 GENERAL,A,53,2014
366,"SANTIAGO, MIGUEL",1357853,2014 GENERAL,A,53,2014
367,"RIDLEY-THOMAS, SEBASTIAN M.",1358246,2014 GENERAL,A,54,2014
368,"RATCLIFF, GLEN",1365736,2014 GENERAL,A,54,2014
369,"CHANG, LING-LING",1357038,2014 GENERAL,A,55,2014
370,"FRITCHLE, GREGG D.",1226413,2014 GENERAL,A,55,2014
371,"GARCIA, EDUARDO",1355371,2014 GENERAL,A,56,2014
372,"BENNETT JR, CHARLES H.",1358565,2014 GENERAL,A,56,2014
373,"CALDERON, IAN",1336511,2014 GENERAL,A,57,2014
374,"TOPALIAN, RITA H.",1259659,2014 GENERAL,A,57,2014
375,"GARCIA, CRISTINA",1343926,2014 GENERAL,A,58,2014
376,"JONES-SAWYER SR., REGINALD BYRON",1317870,2014 GENERAL,A,59,2014
377,"LINDER, ERIC",1345603,2014 GENERAL,A,60,2014
378,"PARK, KEN",1367073,2014 GENERAL,A,60,2014
379,"ARANDA, RUDY",1301595,2014 GENERAL,A,61,2014
380,"MEDINA, JOSE J.",1005789,2014 GENERAL,A,61,2014
381,"BURKE, AUTUMN",1357823,2014 GENERAL,A,62,2014
382,"GROSE, TED",1361796,2014 GENERAL,A,62,2014
383,"MILLER, ADAM J.",1365738,2014 GENERAL,A,63,2014
384,"RENDON, ANTHONY",1335212,2014 GENERAL,A,63,2014
385,"GIPSON, MIKE",1299805,2014 GENERAL,A,64,2014
386,"WALKER, PROPHET L.",1357980,2014 GENERAL,A,64,2014
387,"KIM, YOUNG O.",1358869,2014 GENERAL,A,65,2014
388,"QUIRK-SILVA, SHARON",1345707,2014 GENERAL,A,65,2014
389,"HADLEY, DAVID F.",1359993,2014 GENERAL,A,66,2014
390,"MURATSUCHI, AL",1315952,2014 GENERAL,A,66,2014
391,"MELENDEZ, MELISSA",1340675,2014 GENERAL,A,67,2014
392,"MELTON, CONRAD L",1366959,2014 GENERAL,A,67,2014
393,"WAGNER, DON",1260382,2014 GENERAL,A,68,2014
394,"CAMERON, ANNE",1364766,2014 GENERAL,A,68,2014
395,"DALY, TOM",1341148,2014 GENERAL,A,69,2014
396,"WALKER, SHERRY",1365739,2014 GENERAL,A,69,2014
397,"GOYA, JOHN C.",1358230,2014 GENERAL,A,70,2014
398,"O'DONNELL, PATRICK",1296270,2014 GENERAL,A,70,2014
399,"JONES, BRIAN W.",1319720,2014 GENERAL,A,71,2014
400,"TEORA, ANTHONY",1364128,2014 GENERAL,A,71,2014
401,"ALLEN, TRAVIS",1345834,2014 GENERAL,A,72,2014
402,"BLOCK, JOEL",1364662,2014 GENERAL,A,72,2014
403,"BROUGH, BILL",1356165,2014 GENERAL,A,73,2014
404,"GABRIELLA, WENDY B.",1359654,2014 GENERAL,A,73,2014
405,"CURRY, KEITH",1362287,2014 GENERAL,A,74,2014
406,"HARPER, MATTHEW",1341264,2014 GENERAL,A,74,2014
407,"WALDRON, MARIE",1273672,2014 GENERAL,A,75,2014
408,"SHESTOPLE, NICHOLAS",1366956,2014 GENERAL,A,75,2014
409,"CHAVEZ, ROCKY",1339551,2014 GENERAL,A,76,2014
410,"KROUSE, THOMAS",1367077,2014 GENERAL,A,76,2014
411,"MAIENSCHEIN, BRIAN",1339637,2014 GENERAL,A,77,2014
