candidate_filer_id,committee_filer_id,link_type,session,active,effective_date,termination_date
1000175,1043479,12015,,I,12/24/77,
1000175,1047475,12015,,I,12/24/77,
1000175,1025403,12015,,I,12/24/77,
1000175,1025613,12014,,I,12/24/77,
1000175,1042820,12015,,I,12/24/77,
1000175,1231912,12011,2001,Y,1/11/01,
1000176,1018516,-12011,,I,12/24/77,
1000178,1033640,12015,,I,12/24/77,
1000179,1019581,12015,,I,12/24/77,
1000179,1020123,-12011,,I,12/24/77,
1000179,1048710,12015,,I,12/24/77,
1000179,1064640,12011,1995,I,3/8/96,
1000180,1020666,-12011,,I,12/24/77,
1000181,1024097,-12011,,I,12/24/77,
1000181,1025685,12014,,I,12/24/77,
1000183,1020457,-12011,,I,12/24/77,
1000184,1025365,12015,,I,12/24/77,
1000184,1021913,-12011,,I,12/24/77,
1000184,1036926,12015,,I,12/24/77,
1000184,1025743,12014,,I,12/24/77,
1000184,1018364,-12011,,I,12/24/77,
1000185,1023430,-12011,,I,12/24/77,
1000186,1024059,-12011,,I,12/24/77,
1000187,1018739,-12011,,I,12/24/77,
1000188,1024763,12015,,I,12/24/77,
1000189,1053040,-12011,1991,I,8/5/91,
1000189,1047423,12015,,I,12/24/77,
1000189,1018729,-12011,,I,12/24/77,
1000189,1020174,12011,,I,12/24/77,
1000192,1025369,-12011,,I,12/24/77,
1000192,1020457,12015,,I,12/24/77,
1000195,1019992,12015,,I,12/24/77,
1000195,1031780,12015,,I,12/24/77,
1000195,1022908,-12011,,I,12/24/77,
1000196,1062623,-12011,1996,I,3/4/96,
1000196,1069456,-12011,1996,I,11/25/96,
1000196,1041993,12015,,I,12/24/77,
1000196,1022948,-12011,,I,12/24/77,
1000196,1322401,12011,2009,Y,10/23/09,
1000196,1071479,12011,1997,I,10/17/97,
1000196,1048279,12011,1989,I,6/20/89,1/5/04
1000196,1221279,12011,1999,T,12/2/99,1/5/04
1000197,1024031,-12011,,I,12/24/77,
1000198,1022065,-12011,,I,12/24/77,
1000198,1025648,12014,,I,12/24/77,
1000198,1021934,12015,,I,12/24/77,
1000199,1021061,-12011,,I,12/24/77,
1000200,1023920,-12011,,I,12/24/77,
1000201,1024277,-12011,,I,12/24/77,
1000202,1024467,-12011,,I,12/24/77,
1000203,1024620,-12011,,I,12/24/77,
1000204,1024494,12015,,I,12/24/77,
1000204,1025153,-12011,,I,12/24/77,
1000206,1060526,-12011,,I,12/24/77,
1000206,1072070,-12011,1997,I,12/31/97,
1000206,1025223,12015,,I,12/24/77,
1000206,1072070,12011,1997,T,12/31/97,
1000207,1025323,12015,,I,12/24/77,
1000208,1023135,-12011,,I,12/24/77,
1000208,1025648,12014,,I,12/24/77,
1000208,1025783,12014,,I,12/24/77,
1000208,1033675,12015,,I,12/24/77,
1000208,1025692,12014,,I,12/24/77,
1000208,1033707,12015,,I,12/24/77,
1000208,1025572,12014,,I,12/24/77,
1000208,1025804,12014,,I,12/24/77,
1000210,1024685,-12011,,I,12/24/77,
1000215,1033534,12015,,I,12/24/77,
1000215,1023511,-12011,,I,12/24/77,
1000216,1018745,12015,,I,12/24/77,
1000217,1047896,12015,,I,12/24/77,
1000217,1060594,-12011,1993,I,12/14/93,
1000217,1018745,12011,,I,12/24/77,
1000218,1021052,12015,,I,12/24/77,
1000219,1029590,12015,,I,12/24/77,
1000219,1020289,-12011,,I,12/24/77,
1000223,1050856,12015,,I,12/24/77,
1000225,1023205,-12011,,I,12/24/77,
1000225,1025301,12015,,I,12/24/77,
1000226,1022814,-12011,,I,12/24/77,
1000227,1018534,12015,,I,12/24/77,
1000227,1021847,-12011,,I,12/24/77,
1000227,1022972,12015,,I,12/24/77,
1000227,1047766,12015,,I,12/24/77,
1000227,1050124,-12011,1991,I,7/22/91,
1000227,1054896,-12011,1992,I,1/7/92,
1000227,1055103,-12011,1992,I,7/20/92,
1000227,1058931,-12011,1993,I,10/20/93,
1000227,1072220,-12011,1998,I,5/4/98,
1000227,1072219,-12011,1998,I,5/4/98,
1000227,1075626,-12011,1999,I,1/7/99,
1000227,1047674,12015,,I,12/24/77,
1000227,1044761,-12011,1992,I,1/7/92,
1000227,1072326,-12011,1998,I,2/10/98,
1000227,1051891,12011,1991,I,7/22/91,
1000227,1072220,12011,1997,I,5/4/98,
1000227,1075626,12011,1999,I,1/7/99,
1000228,1033903,12015,,I,12/24/77,
1000228,1024711,-12011,,I,12/24/77,
1000230,1018342,12015,,I,12/24/77,
1000231,1025048,-12011,,I,12/24/77,
1000232,1024247,-12011,,I,12/24/77,
1000232,1020328,-12011,,I,12/24/77,
1000235,1023703,-12011,,I,12/24/77,
1000236,1025219,12015,,I,12/24/77,
1000238,1024883,-12011,,I,12/24/77,
1000239,1018394,-12011,,I,12/24/77,
1000239,1047422,12015,,Y,12/24/77,
1000239,1018394,12011,1999,I,1/5/00,
1000239,1047422,12011,1999,I,1/5/00,
1000241,1028105,-12011,,I,12/24/77,
1000241,1022054,-12011,,I,12/24/77,
