candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
"Ruben ""RJ"" Hernandez",A,77,DEM,2012,75824,190138,39.878404106491075,114314,0,0
Brian Maienschein,A,77,REP,2014,82987,126025,65.84963300932355,82987,1,1
"Ruben ""RJ"" Hernandez",A,77,DEM,2014,43038,126025,34.15036699067645,82987,0,0
Brian Maienschein,A,77,REP,2016,121140,209484,57.82780546485651,121140,1,1
Melinda K. Vásquez,A,77,DEM,2016,88344,209484,42.1721945351435,121140,0,0
Brian Nestande,A,42,REP,2012,81768,149591,54.661042442392926,81768,1,0
Mark Anthony Orozco,A,42,DEM,2012,67823,149591,45.338957557607074,81768,0,0
Brian Nestande,A,64,REP,2008,124414,124414,100.0,124414,1,0
Brian Nestande,A,64,REP,2010,75737,132311,57.24165035408999,75737,1,1
Jose Medina,A,64,DEM,2010,56574,132311,42.758349645910016,75737,0,0
Brian Perry,A,19,LIB,2008,6803,170092,3.9996002163535027,124157,0,0
Catherine Brinkman,A,19,REP,2008,39132,170092,23.006373021658867,124157,0,0
Jerry Hill,A,19,DEM,2008,124157,170092,72.99402676198763,124157,1,0
Brian W. Jones,A,71,REP,2012,106663,168993,63.11681548939897,106663,1,0
Patrick J. Hurley,A,71,DEM,2012,62330,168993,36.88318451060103,106663,0,0
Brian W. Jones,A,71,REP,2014,64613,91548,70.57827587713548,64613,1,1
Tony Teora,A,71,REP,2014,26935,91548,29.421724122864507,64613,0,0
Bruce David McFarland,S,17,DEM,2008,150060,332355,45.1505167667103,182295,0,0
George Runner,S,17,REP,2008,182295,332355,54.84948323328971,182295,1,0
Bryan Justin Marks,A,25,DEM,2004,52006,163342,31.838718761861617,111336,0,0
Dave Cogdill,A,25,REP,2004,111336,163342,68.16128123813839,111336,1,1
Bud Raymond,S,26,LIB,2006,16317,149626,10.905190274417548,133309,0,0
Mark Ridley-Thomas,S,26,DEM,2006,133309,149626,89.09480972558245,133309,1,0
CJ Jawahar,S,4,DEM,2014,79457,218656,36.33881530806381,139199,0,0
Jim Nielsen,S,4,REP,2014,139199,218656,63.66118469193619,139199,1,0
Cam Mangels,A,69,REP,2008,20705,71514,28.952372961937524,50809,0,0
Jose Solorio,A,69,DEM,2008,50809,71514,71.04762703806247,50809,1,1
Cameron M. Smyth,A,38,REP,2010,83854,147931,56.68453535770055,83854,1,1
Diana G. Shaw,A,38,DEM,2010,55062,147931,37.22140727771732,83854,0,0
Peggy Christensen,A,38,LIB,2010,9015,147931,6.094057364582136,83854,0,0
Cameron M. Smyth,A,38,REP,2006,70193,124235,56.50018110838331,70193,1,0
Lyn Shaw,A,38,DEM,2006,46926,124235,37.77196442226426,70193,0,0
Peggy L. Christensen,A,38,LIB,2006,7116,124235,5.727854469352437,70193,0,0
Cameron M. Smyth,A,38,REP,2008,103761,188697,54.98815561455667,103761,1,1
Carole L. Lutness,A,38,DEM,2008,84936,188697,45.011844385443325,103761,0,0
"Carl M. ""Marty"" Swinney",A,51,LIB,2006,2322,71234,3.259679366594604,52671,0,0
Curren D. Price,A,51,DEM,2006,52671,71234,73.94081477945925,52671,1,0
Ross Moen,A,51,REP,2006,16241,71234,22.79950585394615,52671,0,0
"Carl M. ""Marty"" Swinney",A,51,LIB,2008,5563,124667,4.46228753399055,95589,0,0
"Curren D. Price, Jr.",A,51,DEM,2008,95589,124667,76.67546343458976,95589,1,0
Reece Pollack,A,51,REP,2008,23515,124667,18.862249031419704,95589,0,0
Carl Mariz,A,70,DEM,2004,65351,184701,35.382049907688646,112844,0,0
Chuck DeVore,A,70,REP,2004,112844,184701,61.09550029507149,112844,1,0
Mark Baldwin,A,70,LIB,2004,6506,184701,3.5224497972398634,112844,0,0
Carl Wood,A,65,DEM,2008,82305,175871,46.79850572294466,93566,0,0
Paul Cook,A,65,REP,2008,93566,175871,53.20149427705534,93566,1,1
Carl Wood,A,65,DEM,2010,57212,135687,42.16468784776729,78475,0,0
Paul Cook,A,65,REP,2010,78475,135687,57.83531215223271,78475,1,1
"Carlos ""Chuck"" Taylor",A,19,REP,2016,37180,187232,19.85771662963596,150052,0,0
Phil Ting,A,19,DEM,2016,150052,187232,80.14228337036404,150052,1,1
Carlos A. Getino,A,58,REP,2008,35867,120953,29.65366712690053,85086,0,0
Charles M. Calderon,A,58,DEM,2008,85086,120953,70.34633287309947,85086,1,1
Carol Liu,A,44,DEM,2004,106179,161834,65.60982241061829,106179,1,1
Lynn Gabriel,A,44,REP,2004,55655,161834,34.39017758938171,106179,0,0
Carol Liu,S,21,DEM,2008,204737,306104,66.88478425633119,204737,1,0
Steve Myers,S,21,LIB,2008,23842,306104,7.788856075059456,204737,0,0
Teddy Choi,S,21,REP,2008,77525,306104,25.32635966860936,204737,0,0
Carol Liu,S,25,DEM,2012,213127,350778,60.758371391592405,213127,1,0
Gilbert V. Gonzales,S,25,REP,2012,137651,350778,39.241628608407595,213127,0,0
Carolyn F. Patrick,A,6,REP,2004,56311,204867,27.486613266167808,148556,0,0
Joe Nation,A,6,DEM,2004,148556,204867,72.51338673383219,148556,1,1
Carter N. Pope,S,18,DEM,2010,75229,241280,31.179127984084882,166051,0,0
Jean Fuller,S,18,REP,2010,166051,241280,68.82087201591513,166051,1,0
Casey C. Higgins,A,41,REP,2016,78817,199450,39.51717222361494,120633,0,0
Chris Holden,A,41,DEM,2016,120633,199450,60.482827776385065,120633,1,1
Cat Woods,A,6,GRN,2006,6922,161894,4.275637145292599,106589,0,0
Jared Huffman,A,6,DEM,2006,106589,161894,65.83875869396024,106589,1,0
Michael Hartnett,A,6,REP,2006,43864,161894,27.094271560403723,106589,0,0
Richard Olmstead,A,6,LIB,2006,4519,161894,2.7913326003434347,106589,0,0
Catharine Baker,A,16,REP,2014,71452,138604,51.551181784075496,71452,1,0
Tim Sbranti,A,16,DEM,2014,67152,138604,48.448818215924504,71452,0,0
Catharine Baker,A,16,REP,2016,129585,231875,55.885714285714286,129585,1,1
Cheryl Cook-Kallio,A,16,DEM,2016,102290,231875,44.114285714285714,129585,0,0
Catherine Brinkman,A,19,REP,2004,41513,160255,25.90433995819163,114277,0,0
Gene Mullin,A,19,DEM,2004,114277,160255,71.3094755233846,114277,1,1
Miles C. Gilster,A,19,LIB,2004,4465,160255,2.786184518423762,114277,0,0
Cathleen Galgiani,A,17,DEM,2006,47675,79782,59.7565866987541,47675,1,0
"Gerard ""Gerry"" Machado",A,17,REP,2006,32107,79782,40.243413301245894,47675,0,0
Cathleen Galgiani,A,17,DEM,2008,77525,117005,66.25785222853725,77525,1,1
Jack Mobley,A,17,REP,2008,39480,117005,33.74214777146276,77525,0,0
Cathleen Galgiani,A,17,DEM,2010,52219,89512,58.33742961837519,52219,1,1
Jack Mobley,A,17,REP,2010,37293,89512,41.66257038162481,52219,0,0
Cecilia M. Aguiar-Curry,A,4,DEM,2016,118772,186942,63.53414428004408,118772,1,0
Charlie Schaupp,A,4,REP,2016,68170,186942,36.46585571995592,118772,0,0
Chad Mayes,A,42,REP,2014,56517,98599,57.320053955922475,56517,1,0
Karalee Hargrove,A,42,DEM,2014,42082,98599,42.679946044077525,56517,0,0
Chad Mayes,A,42,REP,2016,97864,170445,57.41676200533896,97864,1,1
Greg Rodriguez,A,42,DEM,2016,72581,170445,42.58323799466103,97864,0,0
Chad Walsh,A,28,NPP,2012,66239,174300,38.00286861732645,108061,0,0
Paul Fong,A,28,DEM,2012,108061,174300,61.99713138267355,108061,1,0
Charles Bennett Jr.,A,56,REP,2014,25347,61018,41.540201252089545,35671,0,0
Eduardo Garcia,A,56,DEM,2014,35671,61018,58.459798747910455,35671,1,0
Charles M. Calderon,A,58,DEM,2006,53879,77645,69.39146113722713,53879,1,0
Jim Kleinpell,A,58,REP,2006,23766,77645,30.60853886277288,53879,0,0
Charles M. Calderon,A,58,DEM,2010,61375,89146,68.84773293249276,61375,1,1
Garrett M. May,A,58,REP,2010,27771,89146,31.152267067507232,61375,0,0
Charles Rouse,A,3,DEM,2012,69265,155957,44.41288303827337,86692,0,0
Dan Logue,A,3,REP,2012,86692,155957,55.587116961726636,86692,1,1
Charlotte A. Svolos,S,35,REP,2012,59077,251560,23.484258228653204,192483,0,0
"Roderick ""Rod"" Wright",S,35,DEM,2012,192483,251560,76.5157417713468,192483,1,0
"Chengzhi ""George"" Yang",A,24,REP,2012,49700,167820,29.61506375878918,118120,0,0
Richard S. Gordon,A,24,DEM,2012,118120,167820,70.38493624121081,118120,1,0
Cherryl Liddle,S,28,REP,2006,72570,209206,34.688297658766956,129151,0,0
Jenny Oropeza,S,28,DEM,2006,129151,209206,61.733889085399085,129151,1,0
"Peter ""Pedro"" De Baets",S,28,LIB,2006,7485,209206,3.577813255833963,129151,0,0
Cheryl R. Brown,A,47,DEM,2012,53434,95909,55.71322816419732,53434,1,0
"Joe Baca, Jr.",A,47,DEM,2012,42475,95909,44.28677183580269,53434,0,0
Cheryl R. Brown,A,47,DEM,2014,23632,41507,56.934974823523746,23632,1,1
Gil Navarro,A,47,DEM,2014,17875,41507,43.065025176476254,23632,0,0
Cheryl R. Brown,A,47,DEM,2016,51994,114426,45.438973659832556,62432,0,1
Eloise Reyes,A,47,DEM,2016,62432,114426,54.56102634016744,62432,1,0
Chris Holden,A,41,DEM,2012,109743,190105,57.727571605165565,109743,1,0
Donna Lowe,A,41,REP,2012,80362,190105,42.272428394834435,109743,0,0
Chris Holden,A,41,DEM,2014,62810,105936,59.2905150279414,62810,1,1
Nathaniel Tsai,A,41,REP,2014,43126,105936,40.709484972058604,62810,0,0
Chris Larkin,A,77,DEM,2004,53051,164748,32.201301381503875,106827,0,0
Jay La Suer,A,77,REP,2004,106827,164748,64.84266880326317,106827,1,1
Virgil (Randy) Hall II,A,77,LIB,2004,4870,164748,2.956029815232962,106827,0,0
Chris Maden,A,12,LIB,2004,8560,144363,5.929497170327577,112000,0,0
Howard Epstein,A,12,REP,2004,23803,144363,16.48829686276955,112000,0,0
Leland Y. Yee,A,12,DEM,2004,112000,144363,77.58220596690288,112000,1,0
Chris Norby,A,65,REP,2012,63576,132564,47.958721824929846,68988,0,0
Sharon Quirk-Silva,A,65,DEM,2012,68988,132564,52.04127817507016,68988,1,0
Chris Norby,A,72,REP,2010,68751,112130,61.31365379470258,68751,1,0
Esiquio Ramos Uballe,A,72,DEM,2010,36534,112130,32.581824667796305,68751,0,0
Jane Rands,A,72,GRN,2010,6845,112130,6.104521537501115,68751,0,0
Christian Amsberry,S,7,REP,2008,128878,385189,33.45838017181176,256311,0,0
Mark DeSaulnier,S,7,DEM,2008,256311,385189,66.54161982818823,256311,1,0
Christina Avalos,A,68,DEM,2012,67448,172154,39.17887472844082,104706,0,0
Donald P. (Don) Wagner,A,68,REP,2012,104706,172154,60.82112527155918,104706,1,0
Christine Kehoe,S,39,DEM,2008,227475,348823,65.2121563085003,227475,1,1
Jeff Perwin,S,39,REP,2008,108606,348823,31.134988231853978,227475,0,0
Jesse Thomas,S,39,LIB,2008,12742,348823,3.652855459645723,227475,0,0
Christopher Alexander McCowan,A,31,DEM (W/I),2008,17,92947,0.01828999322194369,64620,0,0
Clifford Archer,A,31,REP,2008,28310,92947,30.4582181243074,64620,0,0
Juan Arambula,A,31,DEM,2008,64620,92947,69.52349188247065,64620,1,1
Christopher Chadwick,A,75,LIB,2010,5692,152833,3.724326552511565,92430,0,0
Nathan Fletcher,A,75,REP,2010,92430,152833,60.47777639645888,92430,1,1
Paul R. Garver,A,75,DEM,2010,54711,152833,35.79789705102955,92430,0,0
Christopher Mateo,A,12,DEM,2012,58517,148338,39.44842184740256,89821,0,0
Kristin Olsen,A,12,REP,2012,89821,148338,60.55157815259745,89821,1,0
Christopher R. Larkin,A,77,DEM,2006,41292,114649,36.0160140951949,69436,0,0
Joel Anderson,A,77,REP,2006,69436,114649,60.563982241449985,69436,1,0
Rich Belitz,A,77,LIB,2006,3921,114649,3.42000366335511,69436,0,0
Christopher Salabaj,A,55,REP,2010,25328,86416,29.309387150527684,61088,0,0
Warren Furutani,A,55,DEM,2010,61088,86416,70.69061284947232,61088,1,1
Christy Smith,A,38,DEM,2016,91801,194778,47.13109283389294,102977,0,0
Dante Acosta,A,38,REP,2016,102977,194778,52.86890716610706,102977,1,0
Chuck DeVore,A,70,REP,2006,78724,130177,60.474584604039116,78724,1,1
Michael G. Glover,A,70,DEM,2006,51453,130177,39.525415395960884,78724,0,0
Chuck DeVore,A,70,REP,2008,114556,198265,57.77923486243159,114556,1,1
Michael George Glover,A,70,DEM,2008,83709,198265,42.22076513756841,114556,0,0
Chuck Page,A,28,REP,2014,48645,119884,40.576724166694476,71239,0,0
Evan Low,A,28,DEM,2014,71239,119884,59.42327583330553,71239,1,0
Cindy Montanez,A,39,DEM,2004,56017,72953,76.78505339053912,56017,1,1
Ely De La Cruz Ayao,A,39,REP,2004,16936,72953,23.214946609460885,56017,0,0
Claire Chiara,A,15,REP,2016,22528,212058,10.62350866272435,189530,0,0
Tony Thurmond,A,15,DEM,2016,189530,212058,89.37649133727565,189530,1,1
Claudia Bermudez,S,9,REP,2008,53299,352520,15.119425848178828,272225,0,0
Loni Hancock,S,9,DEM,2008,272225,352520,77.22256893225916,272225,1,0
Marsha Feinland,S,9,PF,2008,26996,352520,7.658005219562011,272225,0,0
Clint Olivier,A,31,REP,2016,35454,97858,36.23004762002084,62404,0,0
Joaquin Arambula,A,31,DEM,2016,62404,97858,63.76995237997916,62404,1,0
Colin Goldman,A,42,LIB,2006,6101,128259,4.756781200539533,94619,0,0
Mike Feuer,A,42,DEM,2006,94619,128259,73.77182108078185,94619,1,0
Steven Mark Sion,A,42,REP,2006,27539,128259,21.471397718678613,94619,0,0
Colin Goldman,S,23,LIB,2008,18906,353352,5.350472050533179,238172,0,0
Fran Pavley,S,23,DEM,2008,238172,353352,67.40360886594671,238172,1,0
Rick Montaine,S,23,REP,2008,96274,353352,27.245919083520114,238172,0,0
Colin Patrick Walch,S,19,REP,2016,131598,356432,36.92092741392467,224834,0,0
Hannah-Beth Jackson,S,19,DEM,2016,224834,356432,63.07907258607533,224834,1,1
Conchita Applegate,A,12,REP,2008,26380,157611,16.737410459929826,131231,0,0
Fiona Ma,A,12,DEM,2008,131231,157611,83.26258954007018,131231,1,1
Connie Conway,A,26,REP,2012,72061,108440,66.45241608262634,72061,1,0
Jonathon Louis Sosa,A,26,DEM,2012,36379,108440,33.547583917373665,72061,0,0
Connie Conway,A,34,REP,2008,77620,121883,63.684024843497454,77620,1,0
Desmond Farrelly,A,34,DEM,2008,44263,121883,36.31597515650255,77620,0,0
Connie Conway,A,34,REP,2010,67303,95960,70.13651521467278,67303,1,1
Esmeralda Castro,A,34,DEM,2010,28657,95960,29.86348478532722,67303,0,0
Connie M. Leyva,S,20,DEM,2014,56943,91199,62.43818462921743,56943,1,0
Matthew Munson,S,20,REP,2014,34256,91199,37.561815370782575,56943,0,0
Conrad Melton,A,67,DEM,2014,24386,78404,31.103004948727104,54018,0,0
Melissa Melendez,A,67,REP,2014,54018,78404,68.8969950512729,54018,1,1
Conrad Stefan Frankowski,A,41,LIB,2006,4027,126950,3.1721150059078376,78380,0,0
Julia Brownley,A,41,DEM,2006,78380,126950,61.74084285151634,78380,1,0
Tony Dolz,A,41,REP,2006,44543,126950,35.08704214257582,78380,0,0
Corky Reynaga-Emett,A,56,REP,2012,34038,100391,33.90542976960086,66353,0,0
V. Manuel Perez,A,56,DEM,2012,66353,100391,66.09457023039914,66353,1,0
Cristina Carreno Martin,A,35,REP,2006,46109,123977,37.19157585681215,77868,0,0
Pedro Nava,A,35,DEM,2006,77868,123977,62.80842414318785,77868,1,1
Cristina Garcia,A,58,DEM,2012,91019,126695,71.84103555783574,91019,1,0
Patricia A. Kotze-Ramos,A,58,REP,2012,35676,126695,28.15896444216425,91019,0,0
Cristina Garcia,A,58,DEM,2014,43182,43182,100.0,43182,1,1
Cristina Garcia,A,58,DEM,2016,105170,139619,75.32642405403276,105170,1,1
Ramiro Alvarado,A,58,REP,2016,34449,139619,24.673575945967237,105170,0,0
Crystal Crawford,A,74,DEM,2010,56033,147147,38.07960746736257,81661,0,0
Martin Garrick,A,74,REP,2010,81661,147147,55.49620447579632,81661,1,1
Paul King,A,74,LIB,2010,9453,147147,6.424188056841118,81661,0,0
Curt Hagman,A,55,REP,2012,97330,162982,59.71825109521297,97330,1,0
Gregg D. Fritchle,A,55,DEM,2012,65652,162982,40.28174890478703,97330,0,0
Curt Hagman,A,60,REP,2008,92907,166332,55.856359570016586,92907,1,0
Diane Singer,A,60,DEM,2008,73425,166332,44.14364042998341,92907,0,0
Curt Hagman,A,60,REP,2010,83354,127759,65.24315312424174,83354,1,1
Gregg D. Fritchle,A,60,DEM,2010,44405,127759,34.756846875758264,83354,0,0
Cynthia Santiago,A,51,GRN,2010,15486,84597,18.305613674243766,69111,0,0
Steven Bradford,A,51,DEM,2010,69111,84597,81.69438632575623,69111,1,0
Dale V. Everett,A,47,REP,2004,21485,146710,14.644536841387772,118495,0,0
Karen Bass,A,47,DEM,2004,118495,146710,80.76818212800764,118495,1,0
"Peter ""Pedro"" De Baets",A,47,LIB,2004,6730,146710,4.5872810306045935,118495,0,0
Dan Harden,A,59,DEM,2004,64375,170693,37.71390742444037,99381,0,0
Dennis L. Mountjoy,A,59,REP,2004,99381,170693,58.22207120385722,99381,1,1
Fritz R. Ward,A,59,LIB,2004,6937,170693,4.064021371702413,99381,0,0
Dan Leahy,A,5,DEM,2008,71733,187916,38.172907043572664,101888,0,0
Karen Martinez,A,5,PF,2008,14295,187916,7.60712233125439,101888,0,0
Roger Niello,A,5,REP,2008,101888,187916,54.219970625172955,101888,1,1
Dan Logue,A,3,REP,2008,104755,188705,55.512572533849124,104755,1,0
"Michael ""Mickey"" Harrington",A,3,DEM,2008,83950,188705,44.48742746615087,104755,0,0
Dan Logue,A,3,REP,2010,84069,155301,54.132941835532286,84069,1,1
Gary Bryant,A,3,LIB,2010,14420,155301,9.285194557665436,84069,0,0
"Michael ""Mickey"" Harrington",A,3,DEM,2010,56812,155301,36.58186360680227,84069,0,0
Daniel A. Costa,A,9,PF,2010,6941,99001,7.011040292522298,67294,0,0
Rick D. Redding,A,9,REP,2010,24766,99001,25.015908930212827,67294,0,0
Roger Dickinson,A,9,DEM,2010,67294,99001,67.97305077726487,67294,1,0
Daniel D. Frederick,A,4,PF,2010,8647,186625,4.6333556597454795,109672,0,0
Dennis J. Campanale,A,4,DEM,2010,68306,186625,36.600669792364364,109672,0,0
Ted Gaines,A,4,REP,2010,109672,186625,58.76597454789015,109672,1,1
Daniel H. Baehr,A,76,LIB,2008,8224,177106,4.643546802479871,113754,0,0
Lori Saldaña,A,76,DEM,2008,113754,177106,64.22933158673338,113754,1,0
Ralph Denney,A,76,REP,2008,55128,177106,31.127121610786762,113754,0,0
Daniel H. Baehr,A,76,LIB,2010,6679,130646,5.112288168026575,75357,0,0
Ralph Denney,A,76,REP,2010,48610,130646,37.207415458567425,75357,0,0
Toni Atkins,A,76,DEM,2010,75357,130646,57.680296373405994,75357,1,0
Daniel R. Sherman,A,51,LIB,2004,16941,106450,15.914513856270549,89509,0,0
Jerome E. Horton,A,51,DEM,2004,89509,106450,84.08548614372945,89509,1,1
Danny D. Gilmore,A,30,REP,2006,26527,54771,48.4325646783882,28244,0,0
Nicole M. Parra,A,30,DEM,2006,28244,54771,51.567435321611796,28244,1,1
Danny D. Gilmore,A,30,REP,2008,43925,86540,50.75687543332563,43925,1,0
Fran Florez,A,30,DEM,2008,42615,86540,49.24312456667437,43925,0,0
Darcel Woods,A,59,DEM,2010,52928,144007,36.753768914011125,82475,0,0
Robert Gosney,A,59,AI,2010,4269,144007,2.964439228648607,82475,0,0
Tim Donnelly,A,59,REP,2010,82475,144007,57.27152152325928,82475,1,0
Tony Tyler,A,59,LIB,2010,4335,144007,3.010270334080982,82475,0,0
Dario Frommer,A,43,DEM,2004,94149,122954,76.5725393236495,94149,1,1
Sandor J. Woren,A,43,LIB,2004,28805,122954,23.427460676350506,94149,0,0
Darrell R. Fong,A,9,DEM,2014,40220,90408,44.48721352092735,50188,0,0
Jim Cooper,A,9,DEM,2014,50188,90408,55.51278647907265,50188,1,0
Darrell Steinberg,S,6,DEM,2010,137012,224888,60.92454910888976,137012,1,1
Lanric Hyland,S,6,PF,2010,5916,224888,2.6306428088648572,137012,0,0
Marcel Weiland,S,6,REP,2010,70724,224888,31.448543274874602,137012,0,0
Steve Torno,S,6,LIB,2010,11236,224888,4.99626480737078,137012,0,0
Darren Kasai,A,75,DEM,2008,78970,189459,41.68184145382378,98758,0,0
John Murphy,A,75,LIB,2008,11731,189459,6.191840978786967,98758,0,0
Nathan Fletcher,A,75,REP,2008,98758,189459,52.12631756738924,98758,1,0
Das Williams,A,35,DEM,2010,75821,138131,54.89064728409988,75821,1,0
Mike Stoker,A,35,REP,2010,62310,138131,45.10935271590012,75821,0,0
Das Williams,A,37,DEM,2012,115532,191175,60.43258794298417,115532,1,0
Rob Walter,A,37,REP,2012,75643,191175,39.56741205701582,115532,0,0
Das Williams,A,37,DEM,2014,75452,128866,58.55074263188118,75452,1,1
Ron DeBlauw,A,37,REP,2014,53414,128866,41.44925736811882,75452,0,0
Dave Cogdill,S,14,REP,2006,167804,250483,66.99217112538575,167804,1,0
Wesley W. Firch,S,14,DEM,2006,82679,250483,33.00782887461425,167804,0,0
Dave Jones,A,9,DEM,2004,77880,116712,66.72835698128728,77880,1,0
Gale Morgan,A,9,LIB,2004,6098,116712,5.224826924395092,77880,0,0
Gaspar Garcia,A,9,REP,2004,32734,116712,28.046816094317638,77880,0,0
Dave Jones,A,9,DEM,2006,61932,88584,69.91330262801408,61932,1,1
William C. Chan,A,9,REP,2006,26652,88584,30.08669737198591,61932,0,0
Dave Jones,A,9,DEM,2008,92038,126404,72.81256922249297,92038,1,1
Gerald Allen Frink,A,9,PF,2008,7744,126404,6.126388405430208,92038,0,0
Mali D. Currington,A,9,REP,2008,26622,126404,21.061042372076834,92038,0,0
Dave Miller,A,11,REP,2016,62227,173819,35.7998837871579,111592,0,0
Jim Frazier,A,11,DEM,2016,111592,173819,64.20011621284209,111592,1,1
David Campos,A,17,DEM,2014,60416,123457,48.936876807309424,63041,0,0
David Chiu,A,17,DEM,2014,63041,123457,51.063123192690576,63041,1,0
David Chiu,A,17,DEM,2016,172153,199570,86.26196322092498,172153,1,1
Matthew Del Carlo,A,17,REP,2016,27417,199570,13.73803677907501,172153,0,0
David Erlich,A,18,REP,2014,13537,101780,13.300255452937709,88243,0,0
Rob Bonta,A,18,DEM,2014,88243,101780,86.6997445470623,88243,1,1
David G. Valadao,A,30,REP,2010,37392,61778,60.52640098416913,37392,1,0
Fran Florez,A,30,DEM,2010,24386,61778,39.47359901583088,37392,0,0
David Hernandez,A,42,REP (W/I),2010,17,144882,0.011733686724368798,106029,0,0
Mary Toman-Miller,A,42,REP,2010,38836,144882,26.805262213387447,106029,0,0
Mike Feuer,A,42,DEM,2010,106029,144882,73.18300409988818,106029,1,1
David K. Walden,S,40,REP,2006,47601,136370,34.90577106401701,84787,0,0
Denise Moreno Ducheny,S,40,DEM,2006,84787,136370,62.174231869179444,84787,1,1
Jesse Thomas,S,40,LIB,2006,3982,136370,2.919997066803549,84787,0,0
David Ruskin,S,28,LIB,2010,14879,245353,6.064323647968437,142578,0,0
Jenny Oropeza,S,28,DEM,2010,142578,245353,58.11137422407715,142578,1,1
John S. Stammreich,S,28,REP,2010,87896,245353,35.82430212795442,142578,0,0
David Silva,A,67,DEM,2004,50430,168773,29.880371860427914,107847,0,0
"Norm ""Firecracker"" Westwell",A,67,LIB,2004,10496,168773,6.219004224609387,107847,0,0
Tom Harman,A,67,REP,2004,107847,168773,63.90062391496271,107847,1,1
Dawn Ortiz-Legg,A,35,DEM,2016,87168,192415,45.30208143855729,105247,0,0
Jordan Cunningham,A,35,REP,2016,105247,192415,54.69791856144271,105247,1,0
Dean Florez,S,16,DEM,2006,78146,78146,100.0,78146,1,1
Dean Gardner,A,30,REP,2004,35084,78037,44.95816087240668,42953,0,0
Nicole M. Parra,A,30,DEM,2004,42953,78037,55.04183912759332,42953,1,1
Deborah Tharp,A,70,LIB,2010,6212,154056,4.0322999428779145,89636,0,0
Donald P. (Don) Wagner,A,70,REP,2010,89636,154056,58.184036973568055,89636,1,0
Melissa Fox,A,70,DEM,2010,58208,154056,37.78366308355403,89636,0,0
Dennis Hollingsworth,S,36,REP,2006,164025,258732,63.39571448448588,164025,1,1
Joe Shea,S,36,LIB,2006,9001,258732,3.478889352689269,164025,0,0
Mark Hanson,S,36,DEM,2006,85706,258732,33.125396162824856,164025,0,0
Derrick W. Roach,A,79,REP,2008,32526,106577,30.518779849310828,74051,0,0
Mary Salas,A,79,DEM,2008,74051,106577,69.48122015068917,74051,1,1
Devon Mathis,A,26,REP,2014,34683,64674,53.62742369422024,34683,1,0
Rudy Mendoza,A,26,REP,2014,29991,64674,46.37257630577976,34683,0,0
Devon Mathis,A,26,REP,2016,76289,120494,63.31352598469633,76289,1,1
Ruben Macareno,A,26,DEM,2016,44205,120494,36.686474015303666,76289,0,0
Diane Gabl,A,24,REP,2014,33419,111405,29.99775593555047,77986,0,0
Richard S. Gordon,A,24,DEM,2014,77986,111405,70.00224406444953,77986,1,1
Diane L. Harkey,A,73,REP,2010,81164,131010,61.952522708190216,81164,1,1
Judy Jones,A,73,DEM,2010,49846,131010,38.047477291809784,81164,0,0
Diane L. Harkey,A,73,REP,2012,130030,202226,64.29934825393372,130030,1,1
James Corbett,A,73,DEM,2012,72196,202226,35.70065174606628,130030,0,0
Doo Sup Park,S,8,REP,2010,52587,249657,21.063699395570723,197070,0,0
Leland Yee,S,8,DEM,2010,197070,249657,78.93630060442928,197070,1,0
Doris Gentry,A,7,REP,2008,50020,178299,28.05399918115076,128279,0,0
Noreen Evans,A,7,DEM,2008,128279,178299,71.94600081884923,128279,1,0
Doris Gentry,A,7,REP,2010,43293,135586,31.930287787824703,86316,0,0
Kathryn N. Moore,A,7,LIB,2010,5977,135586,4.408272240496807,86316,0,0
Michael Allen,A,7,DEM,2010,86316,135586,63.66143997167849,86316,1,0
Dorothy F. Pineda,A,52,REP,2014,19470,47347,41.12192958371175,27877,0,0
Freddie Rodriguez,A,52,DEM,2014,27877,47347,58.87807041628825,27877,1,0
Doug La Malfa,A,2,REP,2006,95723,140622,68.07114107323179,95723,1,1
Mel Smith,A,2,DEM,2006,41425,140622,29.458406223777217,95723,0,0
Phil Dynan,A,2,PF,2006,3474,140622,2.4704527029909973,95723,0,0
Doug La Malfa,S,4,REP,2010,226239,331699,68.20611457978468,226239,1,0
Lathe Gill,S,4,DEM,2010,105460,331699,31.793885420215318,226239,0,0
Doug Mc Nea,A,24,REP,2008,56835,167628,33.90543345980385,110793,0,0
"Jim Beall, Jr.",A,24,DEM,2008,110793,167628,66.09456654019615,110793,1,0
Douglas Haaland,A,8,REP,2014,48057,110949,43.31449584944434,62892,0,0
Ken Cooley,A,8,DEM,2014,62892,110949,56.685504150555666,62892,1,1
Douglas P. Dye,A,66,DEM,2010,44134,125310,35.21985476019472,81176,0,0
Kevin D. Jeffries,A,66,REP,2010,81176,125310,64.7801452398053,81176,1,1
Earl De Vries,S,32,REP,2010,43924,136615,32.15166709365736,92691,0,0
Gloria Negrete McLeod,S,32,DEM,2010,92691,136615,67.84833290634265,92691,1,1
Ed Chau,A,49,DEM,2014,33030,53708,61.49921799359499,33030,1,0
Esthela Torres Siegrist,A,49,REP,2014,20678,53708,38.500782006405004,33030,0,0
Ed Chau,A,49,DEM,2016,82964,118497,70.01358684186097,82964,1,1
Peter Amundson,A,49,REP,2016,35533,118497,29.986413158139026,82964,0,0
Ed Chavez,A,57,DEM,2004,72860,106354,68.50706132350453,72860,1,1
