candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
"Alfonso Faustino, Jr.",A,12,REP,2010,21540,111928,19.244514330641127,90388,0,0
Fiona Ma,A,12,DEM,2010,90388,111928,80.75548566935888,90388,1,1
Allan R. Mansoor,A,68,REP,2010,57016,103902,54.87478585590267,57016,1,0
Long Pham,A,68,REP (W/I),2010,617,103902,0.5938288002155878,57016,0,0
Phu Nguyen,A,68,DEM,2010,46269,103902,44.53138534388174,57016,0,0
Allan R. Mansoor,A,74,REP,2012,110190,194710,56.59185455292486,110190,1,0
Robert Rush,A,74,DEM,2012,84520,194710,43.408145447075135,110190,0,0
Alvaro G. Day,A,44,REP,2010,41571,127531,32.59678039065012,81347,0,0
Anthony J. Portantino,A,44,DEM,2010,81347,127531,63.78605985995562,81347,1,1
Eytan Kollin,A,44,LIB,2010,4613,127531,3.617159749394265,81347,0,0
Alyson L. Huber,A,10,DEM,2008,88242,189106,46.66271826383087,88242,1,0
Jack Sieglock,A,10,REP,2008,87768,189106,46.412065190951104,88242,0,0
Janice M. Bonser,A,10,LIB,2008,13096,189106,6.925216545218025,88242,0,0
Ameenah Fuller,S,31,DEM,2008,130973,317169,41.29438879587854,186191,0,0
Bob Dutton,S,31,REP,2008,186191,317169,58.704034757495215,186191,1,1
Denise M. Sternberg,S,31,IND (W/I),2008,5,317169,0.001576446626246575,186191,0,0
"Andrew ""Andy"" Favor",A,73,LIB,2008,10171,165561,6.143355017183998,87905,0,0
Diane L. Harkey,A,73,REP,2008,87905,165561,53.095233780902504,87905,1,0
Judy Jones,A,73,DEM,2008,67485,165561,40.761411201913496,87905,0,0
Andrew H. Favor,A,73,LIB,2004,8299,159101,5.21618343065097,100328,0,0
Kathleen Calzada,A,73,DEM,2004,50474,159101,31.724502045870235,100328,0,0
Mimi Walters,A,73,REP,2004,100328,159101,63.05931452347879,100328,1,0
Andrew H. Favor,A,73,LIB,2006,27412,103012,26.610491981516716,75600,0,0
Mimi Walters,A,73,REP,2006,75600,103012,73.38950801848328,75600,1,1
Andrew Masiel Sr.,A,75,DEM,2016,65770,177368,37.08109692842001,111598,0,0
Marie Waldron,A,75,REP,2016,111598,177368,62.91890307157999,111598,1,1
Andy Pugno,A,5,REP,2010,71910,157999,45.51294628447016,78239,0,0
Elizabeth Martinez,A,5,PF,2010,7850,157999,4.9683858758599735,78239,0,0
Richard Pan,A,5,DEM,2010,78239,157999,49.518667839669874,78239,1,0
Andy Pugno,A,6,REP,2012,57084,185549,30.764919239661758,128465,0,0
Beth B. Gaines,A,6,REP,2012,128465,185549,69.23508076033823,128465,1,0
Andy Vidak,S,14,REP,2014,54251,100286,54.09628462596972,54251,1,0
Luis Chavez,S,14,DEM,2014,46035,100286,45.90371537403028,54251,0,0
Anna Caballero,A,28,DEM,2006,43570,75873,57.424907411068496,43570,1,0
Ignacio Velazquez,A,28,REP,2006,32303,75873,42.575092588931504,43570,0,0
Anna Caballero,A,28,DEM,2008,90012,90012,100.0,90012,1,1
Anna Caballero,A,30,DEM,2016,79885,127883,62.46725522547953,79885,1,0
Karina Cervantez Alejo,A,30,DEM,2016,47998,127883,37.53274477452046,79885,0,0
Anna Caballero,S,12,DEM,2010,86963,179233,48.5195248642828,92270,0,0
Anthony Cannella,S,12,REP,2010,92270,179233,51.4804751357172,92270,1,0
Annalisa Marie Temple,A,21,REP,2008,54849,188705,29.066002490660026,133856,0,0
Ira Ruskin,A,21,DEM,2008,133856,188705,70.93399750933997,133856,1,1
Anne Cameron,A,68,DEM,2014,30749,97194,31.636726546906186,66445,0,0
Donald P. (Don) Wagner,A,68,REP,2014,66445,97194,68.36327345309381,66445,1,1
Anselmo A. Chavez,S,1,DEM,2008,162044,429470,37.73115700747433,267426,0,0
Dave Cox,S,1,REP,2008,267426,429470,62.26884299252568,267426,1,1
Anthony Adams,A,59,REP,2006,67499,120999,55.78475855172357,67499,1,0
Elliott Robert Barkan,A,59,DEM,2006,45655,120999,37.73171679104786,67499,0,0
Jill Stone,A,59,LIB,2006,7845,120999,6.483524657228572,67499,0,0
Anthony Adams,A,59,REP,2008,91366,179121,51.00797784737692,91366,1,1
Donald E. Williamson,A,59,DEM,2008,73011,179121,40.76071482405748,91366,0,0
Maureen K. Keedy,A,59,LIB,2008,14744,179121,8.231307328565606,91366,0,0
Anthony Cannella,S,12,REP,2014,74988,124027,60.461028646988154,74988,1,1
Shawn K. Bagley,S,12,DEM,2014,49039,124027,39.538971353011846,74988,0,0
Anthony J. Portantino,S,25,DEM,2016,218242,377256,57.849842017091845,218242,1,0
Michael D. Antonovich,S,25,REP,2016,159014,377256,42.15015798290816,218242,0,0
Anthony J. Portantino,A,44,DEM,2006,66206,113536,58.31278184892897,66206,1,0
Barron Yanaga,A,44,LIB,2006,4969,113536,4.376585400225479,66206,0,0
Ricardo Costa,A,44,GRN,2006,4662,113536,4.106186583990981,66206,0,0
Scott Carwile,A,44,REP,2006,37699,113536,33.20444616685457,66206,0,0
Anthony J. Portantino,A,44,DEM,2008,102896,161588,63.67799589078397,102896,1,1
Brian M. Fuller,A,44,REP,2008,49246,161588,30.47627299056861,102896,0,0
Thomas Logan,A,44,LIB,2008,9446,161588,5.845731118647424,102896,0,0
Anthony Rendon,A,63,DEM,2012,76258,102351,74.50635558030699,76258,1,0
Jack M. Guerrero,A,63,REP,2012,26093,102351,25.49364441969302,76258,0,0
"Antonio ""Tony"" Amador",A,9,REP,2012,60136,146228,41.12481877615778,86092,0,0
Richard Pan,A,9,DEM,2012,86092,146228,58.87518122384222,86092,1,0
ArLyne Diamond,A,25,REP,2012,39159,132646,29.521432987048236,93487,0,0
Bob Wieckowski,A,25,DEM,2012,93487,132646,70.47856701295177,93487,1,0
Ardy Kassakhian,A,43,DEM,2016,58561,164747,35.54601904738781,106186,0,0
Laura Friedman,A,43,DEM,2016,106186,164747,64.45398095261218,106186,1,0
Ari Grayson,S,37,DEM,2016,172455,400935,43.013206629503536,228480,0,0
