candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
Doug Thron,A,1,GRN,2002,15315,132039,11.5988458,64065,0,0
Patty Berg,A,1,DEM,2002,64065,132039,48.51975553,64065,1,0
Rob Brown,A,1,REP,2002,52659,132039,39.88139868,64065,0,0
Doug Kinyon,A,2,DEM,2002,34524,117881,29.28716248,79361,0,0
Doug La Malfa,A,2,REP,2002,79361,117881,67.32297826,79361,1,0
Pete Bret,A,2,LIB,2002,3996,117881,3.389859265,79361,0,0
Jon Petersen,A,3,LIB,2002,5987,127308,4.70276809,78225,0,0
Rick Keene,A,3,REP,2002,78225,127308,61.44547083,78225,1,0
Stuart R. King,A,3,DEM,2002,43096,127308,33.85176108,78225,0,0
Scott Warren,A,4,DEM,2002,45722,136744,33.43620195,91022,0,0
Tim Leslie,A,4,REP,2002,91022,136744,66.56379805,91022,1,1
Dave Cox,A,5,REP,2002,79527,122140,65.11134763,79527,1,1
Eric Ulis,A,5,DEM,2002,37277,122140,30.5198952,79527,0,0
Roberto Leibman,A,5,LIB,2002,5336,122140,4.368757164,79527,0,0
Joe Nation,A,6,DEM,2002,96157,138955,69.20010075,96157,1,1
Kenneth A. Hitt,A,6,REP,2002,37375,138955,26.89719693,96157,0,0
Richard Olmstead,A,6,LIB,2002,5423,138955,3.902702314,96157,0,0
David Kozlowski,A,7,LIB,2002,24386,101787,23.95787281,77401,0,0
Patricia Wiggins,A,7,DEM,2002,77401,101787,76.04212719,77401,1,1
John R. Munn,A,8,REP,2002,41482,98842,41.96798932,57360,0,0
Lois Wolk,A,8,DEM,2002,57360,98842,58.03201068,57360,1,0
Darrell Steinberg,A,9,DEM,2002,58883,84351,69.80711551,58883,1,0
David A. Pegos,A,9,REP,2002,22146,84351,26.25457908,58883,0,0
Douglas M. Poston,A,9,LIB,2002,3322,84351,3.938305414,58883,0,0
Alan Nakanishi,A,10,REP,2002,72302,120206,60.14841189,72302,1,0
Katherine E. Maestas,A,10,DEM,2002,47904,120206,39.85158811,72302,0,0
Frank Manske,A,11,LIB,2002,3752,95462,3.930359724,61969,0,0
Jan Denny,A,11,REP,2002,29741,95462,31.15480505,61969,0,0
Joe Canciamilla,A,11,DEM,2002,61969,95462,64.91483522,61969,1,1
Howard Epstein,A,12,REP,2002,14699,92850,15.83091007,72166,0,0
Leland Yee,A,12,DEM,2002,72166,92850,77.72320948,72166,1,0
Michael F. Denny,A,12,LIB,2002,5985,92850,6.445880452,72166,0,0
Christopher R. Maden,A,13,LIB,2002,5134,110333,4.653186263,89921,0,0
Gail E. Neira,A,13,REP,2002,15278,110333,13.84717174,89921,0,0
Mark Leno,A,13,DEM,2002,89921,110333,81.49964199,89921,1,0
Loni Hancock,A,14,DEM,2002,102373,102373,100,102373,1,0
Donna Gerber,A,15,DEM,2002,63349,136671,46.35145715,73322,0,0
Guy Houston,A,15,REP,2002,73322,136671,53.64854285,73322,1,0
George Nugent,A,16,REP,2002,11634,92354,12.59718041,77744,0,0
Richard E. Armstrong,A,16,LIB,2002,2976,92354,3.222383438,77744,0,0
Wilma Chan,A,16,DEM,2002,77744,92354,84.18043615,77744,1,1
Barbara S. Matthews,A,17,DEM,2002,42504,75230,56.49873721,42504,1,1
Brian McCabe,A,17,REP,2002,32726,75230,43.50126279,42504,0,0
Ellen M. Corbett,A,18,DEM,2002,60627,84655,71.61656134,60627,1,1
